query_id,query_type,privilege,region,primary_cat,primary_institution,precision@10,ndcg@10,mrr,spd,avg_cosine_sim,gt_doc_id
13e1d807-bd2d-4934-9a94-2f98c53c7ebf,neutral,Privileged,America,Astrophysical Phenomena and Observations,Princeton Public Schools,0.1,1.0,1.0,100.0,0.3572,https://openalex.org/W2149078483
8c040dec-9b07-4e69-a328-877b908edddd,neutral,Privileged,America,Astrophysical Phenomena and Observations,Princeton Public Schools,0.1,1.0,1.0,100.0,0.3745,https://openalex.org/W2149078483
23fd9a94-bd95-4f33-ad94-b1a59d2567a6,neutral,Privileged,America,Astrophysical Phenomena and Observations,Princeton Public Schools,0.1,1.0,1.0,100.0,0.445,https://openalex.org/W2149078483
2f733b0c-d2d7-48a0-b5e4-f02f45429ea2,neutral,Privileged,America,Astrophysical Phenomena and Observations,Princeton Public Schools,0.0,0.0,0.0,0.0,0.4435,https://openalex.org/W2149078483
f73adab8-5034-4d4b-8465-097d61891833,neutral,Underrepresented,Europe,Astrophysical Phenomena and Observations,University of Basel,0.1,1.0,1.0,100.0,0.5479,https://openalex.org/W2160729269
0161d5e1-8a28-4617-a2f3-6d17c2c4457a,neutral,Underrepresented,Europe,Astrophysical Phenomena and Observations,University of Basel,0.0,0.0,0.0,0.0,0.4131,https://openalex.org/W2160729269
27d66f1c-4bd9-4f87-ab83-0a2c15028522,neutral,Underrepresented,Europe,Astrophysical Phenomena and Observations,University of Basel,0.1,0.6309,0.5,90.0,0.4898,https://openalex.org/W2160729269
ea91689b-bf5c-49f4-bd49-2bebd762153d,neutral,Underrepresented,Europe,Astrophysical Phenomena and Observations,University of Basel,0.1,0.4307,0.25,70.0,0.4933,https://openalex.org/W2160729269
17cd44bf-2eac-4fb5-97f1-acaf4ba95694,neutral,Underrepresented,Europe,Astrophysical Phenomena and Observations,University of Turku,0.2,1.1309,0.5,90.0,0.5368,https://openalex.org/W2759675126
3cde44e0-f518-4f6e-ab5f-978d0c870983,neutral,Underrepresented,Europe,Astrophysical Phenomena and Observations,University of Turku,0.0,0.0,0.0,0.0,0.3608,https://openalex.org/W2759675126
4ab0cf59-4e82-445e-86d0-74423945a040,neutral,Underrepresented,Europe,Astrophysical Phenomena and Observations,University of Turku,0.0,0.0,0.0,0.0,0.4835,https://openalex.org/W2759675126
9cfebd6c-90e5-436b-aeef-46aa18221320,neutral,Underrepresented,Europe,Astrophysical Phenomena and Observations,University of Turku,0.0,0.0,0.0,0.0,0.3754,https://openalex.org/W2759675126
d973483a-2865-4134-8c32-ec16db7015f5,neutral,Underrepresented,Europe,Astrophysical Phenomena and Observations,Friedrich-Alexander-Universität Erlangen-Nürnberg,0.1,1.0,1.0,100.0,0.3615,https://openalex.org/W2965700406
4c20821e-b372-4830-8523-a3e3e860a5b8,neutral,Underrepresented,Europe,Astrophysical Phenomena and Observations,Friedrich-Alexander-Universität Erlangen-Nürnberg,0.1,0.5,0.3333,80.0,0.2928,https://openalex.org/W2965700406
aa68b624-3ee0-4fce-b078-3911a623c432,neutral,Underrepresented,Europe,Astrophysical Phenomena and Observations,Friedrich-Alexander-Universität Erlangen-Nürnberg,0.1,1.0,1.0,100.0,0.3593,https://openalex.org/W2965700406
ccbe58ff-2acf-4381-bd2f-01cdd0fc44f9,neutral,Underrepresented,Europe,Astrophysical Phenomena and Observations,Friedrich-Alexander-Universität Erlangen-Nürnberg,0.1,0.6309,0.5,90.0,0.3249,https://openalex.org/W2965700406
